Loan_ID,Gender,Married,Education,ApplicantIncome,PD_Probability,Predicted_EAD_Amount,Predicted_LGD_Rate,Expected_Loss_Value,Risk_Segment
LP001047,Male,Yes,Not Graduate,2600.0,0.8325,117.55,0.4953,48.47,High Risk
LP002158,Male,Yes,Not Graduate,3000.0,0.9044,101.88,0.5172,47.65,High Risk
LP002841,Male,Yes,Graduate,3166.0,0.8178,107.92,0.5257,46.4,High Risk
LP001531,Male,No,Graduate,9166.0,0.3743,227.04,0.5354,45.5,High Risk
LP002943,Male,No,Graduate,2987.0,0.8372,89.3,0.549,41.04,High Risk
LP001100,Male,No,Graduate,10171.25,0.3178,245.72,0.5169,40.36,High Risk
LP002547,Male,Yes,Graduate,10171.25,0.3221,237.16,0.5203,39.75,High Risk
LP002545,Male,No,Graduate,3547.0,0.8609,79.37,0.5646,38.58,High Risk
LP001289,Male,No,Graduate,8566.0,0.3549,203.15,0.5284,38.1,High Risk
LP002926,Male,Yes,Graduate,2726.0,0.7028,108.52,0.4908,37.43,High Risk
LP002287,Female,No,Graduate,1500.0,0.7564,100.18,0.4938,37.42,High Risk
LP002734,Male,Yes,Graduate,6133.0,0.2954,237.24,0.5171,36.24,High Risk
LP002938,Male,Yes,Graduate,10171.25,0.2939,235.18,0.5142,35.54,High Risk
LP001666,Male,No,Graduate,8333.0,0.3674,198.99,0.4838,35.37,High Risk
LP002229,Male,No,Graduate,5941.0,0.2758,235.67,0.5299,34.44,High Risk
LP001935,Male,No,Graduate,9508.0,0.3465,185.98,0.5194,33.47,High Risk
LP002341,Female,No,Graduate,2600.0,0.4442,181.74,0.3985,32.17,High Risk
LP002743,Female,No,Graduate,2138.0,0.8327,80.75,0.4751,31.95,High Risk
LP002582,Female,No,Not Graduate,10171.25,0.3163,205.76,0.4875,31.73,High Risk
LP001776,Female,No,Graduate,8333.0,0.2369,237.5,0.5506,30.98,High Risk
LP002571,Male,No,Not Graduate,3691.0,0.4791,117.24,0.4947,27.79,High Risk
LP002113,Female,No,Not Graduate,1830.0,0.9372,85.34,0.3432,27.45,High Risk
LP001751,Male,Yes,Graduate,3250.0,0.301,200.77,0.4537,27.42,High Risk
LP001784,Male,Yes,Graduate,5500.0,0.3141,169.33,0.5127,27.27,High Risk
LP001883,Female,No,Graduate,3418.0,0.362,149.71,0.4979,26.98,High Risk
LP001097,Male,No,Graduate,4692.0,0.465,109.4,0.5233,26.62,High Risk
LP002065,Male,Yes,Graduate,10171.25,0.2072,236.51,0.5415,26.54,High Risk
LP001664,Male,No,Graduate,4191.0,0.3674,130.18,0.5272,25.21,High Risk
LP001198,Male,Yes,Graduate,8080.0,0.2818,185.08,0.4804,25.06,High Risk
LP002237,Male,No,Graduate,3667.0,0.4122,123.51,0.4911,25.0,High Risk
LP001732,Male,Yes,Graduate,5000.0,0.6036,74.06,0.5561,24.86,High Risk
LP001819,Male,Yes,Not Graduate,6608.0,0.3726,140.54,0.4704,24.63,High Risk
LP002424,Male,Yes,Graduate,7333.0,0.2672,200.38,0.4514,24.17,High Risk
LP001788,Female,No,Graduate,3463.0,0.3681,132.29,0.4905,23.89,High Risk
LP002622,Male,Yes,Graduate,3510.0,0.2081,223.71,0.5066,23.58,High Risk
LP002626,Male,Yes,Graduate,2479.0,0.2604,191.18,0.466,23.2,High Risk
LP002945,Male,Yes,Graduate,9963.0,0.2602,180.9,0.4922,23.17,High Risk
LP002950,Male,Yes,Not Graduate,2894.0,0.3216,154.75,0.4638,23.08,High Risk
LP001426,Male,Yes,Graduate,5667.0,0.2539,176.98,0.5066,22.76,Medium Risk
LP001574,Male,Yes,Graduate,3707.0,0.2534,178.48,0.5022,22.71,Medium Risk
LP002342,Male,Yes,Graduate,1600.0,0.2133,221.87,0.4729,22.38,Medium Risk
LP001273,Male,Yes,Graduate,6000.0,0.1762,239.69,0.5293,22.35,Medium Risk
LP002959,Female,Yes,Graduate,10171.25,0.1804,232.24,0.5251,22.0,Medium Risk
LP002784,Male,Yes,Not Graduate,2492.0,0.3644,128.18,0.4532,21.17,Medium Risk
LP002785,Male,Yes,Graduate,3333.0,0.2739,158.32,0.4835,20.97,Medium Risk
LP002408,Male,No,Graduate,3660.0,0.2291,182.0,0.5027,20.96,Medium Risk
LP001841,Male,No,Not Graduate,2583.0,0.4451,100.76,0.4627,20.75,Medium Risk
LP002637,Male,No,Not Graduate,3598.0,0.421,100.4,0.489,20.67,Medium Risk
LP002319,Male,Yes,Graduate,6256.0,0.2373,166.06,0.5183,20.42,Medium Risk
LP001579,Male,No,Graduate,2237.0,0.8341,41.84,0.5599,19.54,Medium Risk
LP002144,Female,No,Graduate,3813.0,0.3136,124.61,0.4975,19.44,Medium Risk
LP002755,Male,Yes,Not Graduate,2239.0,0.3356,129.99,0.4397,19.18,Medium Risk
LP002367,Female,No,Not Graduate,4606.0,0.4843,77.26,0.5109,19.12,Medium Risk
LP001644,Male,Yes,Graduate,674.0,0.2515,162.89,0.4572,18.73,Medium Risk
LP002024,Male,Yes,Graduate,2473.0,0.2325,171.16,0.47,18.7,Medium Risk
LP002348,Male,Yes,Graduate,5829.0,0.2467,144.06,0.5256,18.68,Medium Risk
LP002716,Male,No,Not Graduate,6783.0,0.2784,134.39,0.4994,18.68,Medium Risk
LP002948,Male,Yes,Graduate,5780.0,0.1788,198.83,0.5101,18.13,Medium Risk
LP002964,Male,Yes,Not Graduate,3987.0,0.239,159.3,0.4695,17.88,Medium Risk
LP001836,Female,No,Graduate,3427.0,0.2388,154.4,0.4794,17.68,Medium Risk
LP002190,Male,Yes,Graduate,6325.0,0.1887,177.29,0.5207,17.42,Medium Risk
LP002239,Male,No,Not Graduate,2346.0,0.263,139.33,0.4489,16.45,Medium Risk
LP001392,Female,No,Graduate,7451.0,0.2486,130.0,0.5076,16.4,Medium Risk
LP002874,Male,No,Graduate,3229.0,0.2846,114.18,0.4934,16.03,Medium Risk
LP002795,Male,Yes,Graduate,10139.0,0.1284,233.89,0.528,15.86,Medium Risk
LP001656,Male,No,Graduate,10171.25,0.1816,173.79,0.4971,15.69,Medium Risk
LP002936,Male,Yes,Graduate,3859.0,0.2251,143.01,0.4814,15.5,Medium Risk
LP002740,Male,Yes,Graduate,6417.0,0.1827,160.56,0.5235,15.36,Medium Risk
LP002515,Male,Yes,Graduate,3450.0,0.1958,163.24,0.4806,15.36,Medium Risk
LP001197,Male,Yes,Graduate,3366.0,0.2226,137.77,0.4964,15.22,Medium Risk
LP002082,Male,Yes,Graduate,5818.0,0.1631,178.39,0.4985,14.5,Medium Risk
LP002587,Male,Yes,Not Graduate,2600.0,0.2897,107.22,0.4613,14.33,Medium Risk
LP002522,Female,No,Graduate,2500.0,0.358,85.63,0.467,14.32,Medium Risk
LP001922,Male,Yes,Graduate,10171.25,0.1946,150.28,0.4766,13.94,Medium Risk
LP001760,Male,Yes,Graduate,4758.0,0.1533,171.92,0.5269,13.89,Medium Risk
LP001716,Male,Yes,Graduate,3173.0,0.2036,140.08,0.484,13.8,Medium Risk
LP001891,Male,Yes,Graduate,10171.25,0.1831,157.37,0.4714,13.58,Medium Risk
LP002893,Male,No,Graduate,1836.0,0.277,102.25,0.4669,13.22,Medium Risk
LP001199,Male,Yes,Not Graduate,3357.0,0.203,143.7,0.4514,13.17,Medium Risk
LP002434,Male,Yes,Not Graduate,4652.0,0.2353,113.61,0.4899,13.1,Medium Risk
LP002543,Male,Yes,Graduate,8333.0,0.1057,227.75,0.5272,12.69,Medium Risk
LP002211,Male,Yes,Graduate,4817.0,0.2057,125.89,0.4898,12.68,Medium Risk
LP001508,Male,Yes,Graduate,10171.25,0.1384,188.41,0.4751,12.39,Medium Risk
LP002862,Male,Yes,Not Graduate,6125.0,0.1394,180.46,0.4902,12.33,Medium Risk
LP001931,Female,No,Graduate,4124.0,0.1931,121.35,0.524,12.28,Medium Risk
LP001279,Male,No,Graduate,2366.0,0.179,140.02,0.4856,12.17,Medium Risk
LP002603,Female,No,Graduate,645.0,0.2366,108.29,0.4716,12.08,Medium Risk
LP001868,Male,No,Graduate,2060.0,0.1751,140.72,0.4737,11.67,Medium Risk
LP002953,Male,Yes,Graduate,5703.0,0.1621,136.6,0.526,11.65,Medium Risk
LP002768,Male,No,Not Graduate,3358.0,0.2873,77.68,0.5188,11.58,Medium Risk
LP002804,Female,Yes,Graduate,4180.0,0.1255,177.7,0.5032,11.22,Medium Risk
LP001205,Male,Yes,Graduate,2500.0,0.1904,123.09,0.4749,11.13,Medium Risk
LP002100,Male,No,Graduate,2833.0,0.3238,65.61,0.5175,10.99,Medium Risk
LP001532,Male,Yes,Not Graduate,2281.0,0.2649,105.74,0.3902,10.93,Medium Risk
LP001698,Male,No,Not Graduate,3975.0,0.3714,61.79,0.4715,10.82,Medium Risk
LP001581,Male,Yes,Not Graduate,1820.0,0.2661,91.19,0.4429,10.75,Medium Risk
LP002369,Male,Yes,Graduate,2920.0,0.2455,86.69,0.5039,10.72,Medium Risk
LP002478,Male,Yes,Graduate,2083.0,0.1427,156.87,0.4696,10.51,Medium Risk
LP002798,Male,Yes,Graduate,3887.0,0.1305,162.01,0.4971,10.51,Medium Risk
LP002560,Male,No,Not Graduate,2699.0,0.235,94.76,0.4672,10.4,Low Risk
LP002619,Male,Yes,Not Graduate,3814.0,0.1768,125.97,0.4666,10.39,Low Risk
LP002978,Female,No,Graduate,2900.0,0.3182,61.1,0.5286,10.28,Low Risk
LP001758,Male,Yes,Graduate,6250.0,0.0975,199.94,0.5088,9.92,Low Risk
LP002634,Female,No,Graduate,10171.25,0.246,91.47,0.438,9.86,Low Risk
LP002129,Male,Yes,Graduate,2499.0,0.1233,166.46,0.4754,9.76,Low Risk
LP002086,Female,Yes,Graduate,4333.0,0.1747,114.14,0.4878,9.73,Low Risk
LP001653,Male,No,Not Graduate,4885.0,0.4066,45.35,0.518,9.55,Low Risk
LP001640,Male,Yes,Graduate,10171.25,0.1307,190.13,0.3841,9.54,Low Risk
LP002692,Male,Yes,Graduate,5677.0,0.1732,107.78,0.5011,9.35,Low Risk
LP002741,Female,Yes,Graduate,4608.0,0.1414,138.61,0.4766,9.34,Low Risk
LP001940,Male,Yes,Graduate,3153.0,0.138,141.05,0.4761,9.27,Low Risk
LP002370,Male,No,Not Graduate,2717.0,0.4179,45.97,0.478,9.18,Low Risk
LP001977,Male,Yes,Graduate,1625.0,0.214,94.85,0.449,9.11,Low Risk
LP002281,Male,Yes,Graduate,3033.0,0.1874,97.74,0.4909,8.99,Low Risk
LP001750,Male,Yes,Graduate,6250.0,0.1272,134.19,0.5195,8.87,Low Risk
LP001792,Male,Yes,Graduate,3315.0,0.1747,100.21,0.5023,8.79,Low Risk
LP001949,Male,Yes,Graduate,4416.0,0.1445,116.27,0.5099,8.57,Low Risk
LP002533,Male,Yes,Graduate,2947.0,0.1342,134.63,0.473,8.55,Low Risk
LP001112,Female,Yes,Graduate,3667.0,0.1143,146.96,0.497,8.35,Low Risk
LP002178,Male,Yes,Graduate,3013.0,0.178,99.1,0.4726,8.34,Low Risk
LP002738,Male,No,Graduate,3617.0,0.1416,114.62,0.5084,8.25,Low Risk
LP002387,Male,Yes,Graduate,2425.0,0.1166,148.74,0.4748,8.23,Low Risk
LP001131,Male,Yes,Graduate,3941.0,0.1201,136.6,0.4957,8.13,Low Risk
LP001854,Male,Yes,Graduate,5250.0,0.1499,101.37,0.528,8.02,Low Risk
LP002314,Female,No,Not Graduate,2213.0,0.4321,38.32,0.4773,7.9,Low Risk
LP001356,Male,Yes,Graduate,4652.0,0.1196,136.73,0.4825,7.89,Low Risk
LP001658,Male,No,Graduate,3858.0,0.1935,76.1,0.5361,7.89,Low Risk
LP002087,Female,No,Graduate,2500.0,0.2984,51.66,0.5098,7.86,Low Risk
LP002863,Male,Yes,Graduate,6406.0,0.0951,155.01,0.5303,7.82,Low Risk
LP002868,Male,Yes,Graduate,3159.0,0.1425,115.11,0.4737,7.77,Low Risk
LP001572,Male,Yes,Graduate,9323.0,0.1564,109.06,0.442,7.54,Low Risk
LP002337,Female,No,Graduate,2995.0,0.2869,48.74,0.5324,7.44,Low Risk
LP002226,Male,Yes,Graduate,3333.0,0.1159,130.35,0.4908,7.41,Low Risk
LP001005,Male,Yes,Graduate,3000.0,0.2457,58.31,0.5081,7.28,Low Risk
LP001639,Female,Yes,Graduate,3625.0,0.1235,113.78,0.5073,7.13,Low Risk
LP002586,Female,Yes,Graduate,3326.0,0.1363,104.5,0.4877,6.95,Low Risk
LP002036,Male,Yes,Graduate,2058.0,0.1679,86.85,0.4737,6.91,Low Risk
LP001507,Male,Yes,Graduate,2698.0,0.1121,125.76,0.4831,6.81,Low Risk
LP001535,Male,No,Graduate,3254.0,0.3021,40.54,0.543,6.65,Low Risk
LP001027,Male,Yes,Graduate,2500.0,0.1221,111.99,0.4683,6.4,Low Risk
LP002051,Male,Yes,Graduate,2400.0,0.1071,117.6,0.4785,6.03,Low Risk
LP002194,Female,No,Graduate,10171.25,0.1372,98.46,0.4431,5.99,Low Risk
LP001608,Male,Yes,Graduate,2045.0,0.1279,100.57,0.4647,5.98,Low Risk
LP001155,Female,Yes,Not Graduate,1928.0,0.1362,95.17,0.439,5.69,Low Risk
LP002106,Male,Yes,Graduate,5503.0,0.1202,108.45,0.4331,5.65,Low Risk
LP001282,Male,Yes,Graduate,2500.0,0.1043,104.99,0.4828,5.29,Low Risk
LP002917,Female,No,Not Graduate,2165.0,0.2681,41.98,0.463,5.21,Low Risk
LP002519,Male,Yes,Graduate,4691.0,0.0891,106.02,0.532,5.03,Low Risk
LP002126,Male,Yes,Not Graduate,3173.0,0.1348,69.13,0.5008,4.67,Low Risk
LP001280,Male,Yes,Not Graduate,3333.0,0.1037,97.64,0.4588,4.65,Low Risk
LP001514,Female,Yes,Graduate,2330.0,0.0934,101.43,0.4728,4.48,Low Risk
LP001743,Male,Yes,Graduate,4009.0,0.0735,118.38,0.491,4.27,Low Risk
LP001734,Female,Yes,Graduate,4283.0,0.0668,126.19,0.4871,4.11,Low Risk
LP001917,Female,No,Graduate,1811.0,0.2125,37.75,0.4947,3.97,Low Risk
LP001896,Male,Yes,Graduate,3900.0,0.082,92.59,0.5121,3.89,Low Risk
LP001915,Male,Yes,Graduate,2301.0,0.1162,72.29,0.4555,3.83,Low Risk
LP001722,Male,Yes,Graduate,150.0,0.1409,97.23,0.224,3.07,Low Risk
LP002300,Female,No,Not Graduate,1963.0,0.2587,11.02,0.4795,1.37,Low Risk
LP002689,Male,Yes,Not Graduate,2192.0,0.0832,28.38,0.4636,1.09,Low Risk
LP001325,Male,No,Not Graduate,3620.0,0.237,5.74,0.5046,0.69,Low Risk
LP001518,Male,Yes,Graduate,1538.0,0.1803,2.34,0.4953,0.21,Low Risk
